pollutant,run,level,replicate,sample_id,value
so2,corrida_4,180-nmol/mol,2,4,180.3983834
so2,corrida_5,20-nmol/mol,1,1,19.73129412
so2,corrida_5,20-nmol/mol,1,2,19.73047059
so2,corrida_5,20-nmol/mol,1,3,19.742
so2,corrida_5,20-nmol/mol,1,4,19.73835294
so2,corrida_5,20-nmol/mol,2,1,19.70635294
so2,corrida_5,20-nmol/mol,2,2,19.73047059
so2,corrida_5,20-nmol/mol,2,3,19.71188235
so2,corrida_5,20-nmol/mol,2,4,19.74
so2,corrida_6,60-nmol/mol,1,1,59.90268817
so2,corrida_6,60-nmol/mol,1,2,59.88021505
so2,corrida_6,60-nmol/mol,1,3,59.90419355
so2,corrida_6,60-nmol/mol,1,4,59.87698925
so2,corrida_6,60-nmol/mol,2,1,59.88311828
so2,corrida_6,60-nmol/mol,2,2,59.88774194
so2,corrida_6,60-nmol/mol,2,3,59.88505376
so2,corrida_6,60-nmol/mol,2,4,59.92010753
