"pollutant","run","level","participant_id","replicate","mean_value","sd_value","x_pt","sigma_pt","u_xpt","u_x","U_x","U_xpt","z_score","z_prime_score","zeta_score","En_score","z_score_eval","z_prime_score_eval","zeta_score_eval","En_score_eval","n_lab"
"no","corrida_2","121-nmol/mol","part_2",3,120.3319368,0.1138819862,120.356389966667,0.0261429171999888,0.010892882166662,0.1138819862,0.2277639724,0.021785764333324,-0.935364882182506,-0.863413737399236,-0.213748176840575,-0.106874088420288,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_2","121-nmol/mol","part_2",3,120.3276285,0.07699712281,120.356389966667,0.0261429171999888,0.010892882166662,0.07699712281,0.15399424562,0.021785764333324,-1.10016286425288,-1.01553495161804,-0.369856656016716,-0.184928328008358,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_2","121-nmol/mol","part_2",3,120.367747,0.04643673515,120.356389966667,0.0261429171999888,0.010892882166662,0.04643673515,0.0928734703,0.021785764333324,0.434421042091301,0.401004038853508,0.238106795139131,0.119053397569565,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_2","121-nmol/mol","part_3",4,120.3851383,0.05920597384,120.356389966667,0.0261429171999888,0.010892882166662,0.05920597384,0.11841194768,0.021785764333324,1.09966049746499,1.01507122842922,0.47754955451474,0.23877477725737,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_2","121-nmol/mol","part_3",4,120.3326087,0.04430297396,120.356389966667,0.0261429171999888,0.010892882166662,0.04430297396,0.08860594792,0.021785764333324,-0.909663848328461,-0.839689706149349,-0.521262320532216,-0.260631160266108,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_2","121-nmol/mol","part_3",4,120.3652964,0.07713032491,120.356389966667,0.0261429171999888,0.010892882166662,0.07713032491,0.15426064982,0.021785764333324,0.340682459620102,0.314476116572402,0.114337915887246,0.0571689579436232,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_3","122-nmol/mol","part_1",2,40.75243023,0.04058476216,40.74345349,0.0110535256699942,0.0046056356958309,0.04058476216,0.08116952432,0.00921127139166181,0.812115542859739,0.749645116485913,0.21977436917415,0.109887184587075,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_3","122-nmol/mol","part_1",2,40.74166279,0.03555639332,40.74345349,0.0110535256699942,0.0046056356958309,0.03555639332,0.07111278664,0.00921127139166181,-0.162002609254515,-0.14954087008109,-0.0499450016795198,-0.0249725008397599,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_3","122-nmol/mol","part_1",2,40.7259186,0.05408621211,40.74345349,0.0110535256699942,0.0046056356958309,0.05408621211,0.10817242422,0.00921127139166181,-1.58636172055043,-1.46433389589271,-0.323033524564812,-0.161516762282406,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_3","122-nmol/mol","part_2",3,40.73732558,0.06431712452,40.74345349,0.0110535256699942,0.0046056356958309,0.06431712452,0.12863424904,0.00921127139166181,-0.554385105979204,-0.511740097826958,-0.0950331509469172,-0.0475165754734586,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_3","122-nmol/mol","part_2",3,40.70034884,0.03471704366,40.74345349,0.0110535256699942,0.0046056356958309,0.03471704366,0.06943408732,0.00921127139166181,-3.89962906740383,-3.59965760068046,-1.23081562921454,-0.61540781460727,"No satisfactorio","No satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_3","122-nmol/mol","part_2",3,40.72951163,0.0516134661,40.74345349,0.0110535256699942,0.0046056356958309,0.0516134661,0.1032269322,0.00921127139166181,-1.26130434905934,-1.16428093759324,-0.269051545004834,-0.134525772502417,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_3","122-nmol/mol","part_3",4,40.74063953,0.04032070708,40.74345349,0.0110535256699942,0.0046056356958309,0.04032070708,0.08064141416,0.00921127139166181,-0.254575787310669,-0.234993034440617,-0.0693385737321956,-0.0346692868660978,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_3","122-nmol/mol","part_3",4,40.74005814,0.05165842994,40.74345349,0.0110535256699942,0.0046056356958309,0.05165842994,0.10331685988,0.00921127139166181,-0.30717348485607,-0.283544755251757,-0.0654672546581282,-0.0327336273290641,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_3","122-nmol/mol","part_3",4,40.74751163,0.06618006114,40.74345349,0.0110535256699942,0.0046056356958309,0.06618006114,0.13236012228,0.00921127139166181,0.367135348589648,0.338894167928906,0.061171725460069,0.0305858627300345,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_4","180-nmol/mol","part_1",2,182.2615347,0.2937754456,182.240188466667,0.106810257299993,0.0445042738749973,0.2937754456,0.5875508912,0.0890085477499945,0.19985190442317,0.184478681006003,0.0718420423601898,0.0359210211800949,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_4","180-nmol/mol","part_1",2,182.3335578,0.2400638546,182.240188466667,0.106810257299993,0.0445042738749973,0.2400638546,0.4801277092,0.0890085477499945,0.874160737868888,0.806917604186666,0.382419489335029,0.191209744667515,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_4","180-nmol/mol","part_1",2,182.2108438,0.2627001239,182.240188466667,0.106810257299993,0.0445042738749973,0.2627001239,0.5254002478,0.0890085477499945,-0.274736410233099,-0.253602840215169,-0.11013478778738,-0.0550673938936901,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_4","180-nmol/mol","part_2",3,182.3591034,0.2627676671,182.240188466667,0.106810257299993,0.0445042738749973,0.2627676671,0.5255353342,0.0890085477499945,1.11332877889576,1.02768810359608,0.446193461468302,0.223096730734151,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_4","180-nmol/mol","part_2",3,182.2518152,0.238331083,182.240188466667,0.106810257299993,0.0445042738749973,0.238331083,0.476662166,0.0890085477499945,0.108854089740543,0.10048069822204,0.04795504392277,0.023977521961385,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_4","180-nmol/mol","part_2",3,182.3570473,0.2023042848,182.240188466667,0.106810257299993,0.0445042738749973,0.2023042848,0.4046085696,0.0890085477499945,1.09407875504992,1.00991885081531,0.564149439558678,0.282074719779339,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_4","180-nmol/mol","part_3",4,182.1907426,0.2230697157,182.240188466667,0.106810257299993,0.0445042738749973,0.2230697157,0.4461394314,0.0890085477499945,-0.462931818690377,-0.427321678791117,-0.217377066674335,-0.108688533337167,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_4","180-nmol/mol","part_3",4,182.1830594,0.2451535918,182.240188466667,0.106810257299993,0.0445042738749973,0.2451535918,0.4903071836,0.0890085477499945,-0.534864984981915,-0.493721524598691,-0.229286285093445,-0.114643142546722,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_4","180-nmol/mol","part_3",4,182.3428405,0.2392964544,182.240188466667,0.106810257299993,0.0445042738749973,0.2392964544,0.4785929088,0.0890085477499945,0.961069057674992,0.887140668623069,0.421742611368594,0.210871305684297,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_5","181-nmol/mol","part_1",2,180.2058696,0.1041201219,180.1986232,0.019826968499973,0.00826123687498877,0.1041201219,0.2082402438,0.0165224737499775,0.365481994891136,0.337367995284126,0.0693784989881837,0.0346892494940919,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_5","181-nmol/mol","part_1",2,180.2304348,0.1069816553,180.1986232,0.019826968499973,0.00826123687498877,0.1069816553,0.2139633106,0.0165224737499775,1.60446111568035,1.48104102985878,0.296473019153575,0.148236509576788,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_5","181-nmol/mol","part_1",2,180.1744565,0.06343011956,180.1986232,0.019826968499973,0.00826123687498877,0.06343011956,0.12686023912,0.0165224737499775,-1.21888023375978,-1.12512021577826,-0.377806368634173,-0.188903184317087,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_5","181-nmol/mol","part_2",3,180.2323913,0.05669056911,180.1986232,0.019826968499973,0.00826123687498877,0.05669056911,0.11338113822,0.0165224737499775,1.70313984208171,1.5721290849985,0.589430757243048,0.294715378621524,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_5","181-nmol/mol","part_2",3,180.2220652,0.06396554172,180.1986232,0.019826968499973,0.00826123687498877,0.06396554172,0.12793108344,0.0165224737499775,1.18232900809062,1.09138062285288,0.363459833519652,0.181729916759826,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_5","181-nmol/mol","part_2",3,180.2116304,0.07354992146,180.1986232,0.019826968499973,0.00826123687498877,0.07354992146,0.14709984292,0.0165224737499775,0.656035742429398,0.605571454550213,0.175743465864814,0.0878717329324069,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
