pollutant,run,level,participant_id,replicate,sample_group,mean_value,sd_value
no2,corrida_1,0-nmol/mol,ref,1,21-30,0.1879172791,0.1841697933
no2,corrida_2,120-nmol/mol,part_1,2,1-10,123.0339241,0.3874156737
no2,corrida_2,120-nmol/mol,part_1,2,11-20,123.0116456,0.3646540346
no2,corrida_2,120-nmol/mol,part_1,2,21-30,123.11,0.4770741303
no2,corrida_2,120-nmol/mol,part_2,3,1-10,122.9940506,0.3520434241
no2,corrida_2,120-nmol/mol,part_2,3,11-20,122.9667089,0.2891136346
no2,corrida_2,120-nmol/mol,part_2,3,21-30,122.9889873,0.3716914256
no2,corrida_2,120-nmol/mol,part_3,4,1-10,122.7431646,0.3126564911
no2,corrida_2,120-nmol/mol,part_3,4,11-20,122.9779747,0.3860702773
no2,corrida_2,120-nmol/mol,part_3,4,21-30,122.911519,0.3810780465
no2,corrida_2,120-nmol/mol,ref,1,1-10,122.9306329,0.5065684385
no2,corrida_2,120-nmol/mol,ref,1,11-20,122.911519,0.2216997053
no2,corrida_2,120-nmol/mol,ref,1,21-30,122.8706329,0.3771726158
no2,corrida_3,30-nmol/mol,part_1,2,1-10,32.92142857,0.03254127948
no2,corrida_3,30-nmol/mol,part_1,2,11-20,32.9277619,0.03636344768
no2,corrida_3,30-nmol/mol,part_1,2,21-30,32.91697619,0.02757123895
no2,corrida_3,30-nmol/mol,part_2,3,1-10,32.92978571,0.03130974008
no2,corrida_3,30-nmol/mol,part_2,3,11-20,32.89186905,0.0457731189
no2,corrida_3,30-nmol/mol,part_2,3,21-30,32.91717857,0.01659945347
no2,corrida_3,30-nmol/mol,part_3,4,1-10,32.92371429,0.03235642356
no2,corrida_3,30-nmol/mol,part_3,4,11-20,32.90229762,0.032840319
no2,corrida_3,30-nmol/mol,part_3,4,21-30,32.90880952,0.04426095912
no2,corrida_3,30-nmol/mol,ref,1,1-10,32.91159524,0.02869808786
no2,corrida_3,30-nmol/mol,ref,1,11-20,32.91161905,0.04379871042
no2,corrida_3,30-nmol/mol,ref,1,21-30,32.92442857,0.04005035096
no2,corrida_4,60-nmol/mol,part_1,2,1-10,65.09426374,0.2540890845
no2,corrida_4,60-nmol/mol,part_1,2,11-20,64.88535165,0.3683933321
no2,corrida_4,60-nmol/mol,part_1,2,21-30,64.84454945,0.2439353147
no2,corrida_4,60-nmol/mol,part_2,3,1-10,64.9377033,0.1842267805
no2,corrida_4,60-nmol/mol,part_2,3,11-20,65.02823077,0.1689478666
no2,corrida_4,60-nmol/mol,part_2,3,21-30,65.05642857,0.2199994465
no2,corrida_4,60-nmol/mol,part_3,4,1-10,64.99881319,0.288245195
no2,corrida_4,60-nmol/mol,part_3,4,11-20,64.93223077,0.1903352821
no2,corrida_4,60-nmol/mol,part_3,4,21-30,64.90646154,0.1906959763
no2,corrida_4,60-nmol/mol,ref,1,1-10,64.94136264,0.2958544371
no2,corrida_4,60-nmol/mol,ref,1,11-20,65.01793407,0.2967116663
no2,corrida_4,60-nmol/mol,ref,1,21-30,64.88504396,0.2594867371
no2,corrida_5,90-nmol/mol,part_1,2,1-10,96.83174419,0.04571139769
no2,corrida_5,90-nmol/mol,part_1,2,11-20,96.8505,0.03509633955
no2,corrida_5,90-nmol/mol,part_1,2,21-30,96.84703488,0.03686648644
no2,corrida_5,90-nmol/mol,part_2,3,1-10,96.85638372,0.04677831971
no2,corrida_5,90-nmol/mol,part_2,3,11-20,96.83254651,0.03373685136
no2,corrida_5,90-nmol/mol,part_2,3,21-30,96.8415,0.03427546577
no2,corrida_5,90-nmol/mol,part_3,4,1-10,96.86401163,0.04289492173
no2,corrida_5,90-nmol/mol,part_3,4,11-20,96.84105814,0.03176329748
no2,corrida_5,90-nmol/mol,part_3,4,21-30,96.82990698,0.01986129113
no2,corrida_5,90-nmol/mol,ref,1,1-10,96.83817442,0.05080072292
no2,corrida_5,90-nmol/mol,ref,1,11-20,96.83430233,0.03105393847
no2,corrida_5,90-nmol/mol,ref,1,21-30,96.84137209,0.04892476463
o3,corrida_1,0-nmol/mol,part_1,2,1-10,2.90E-05,3.21E-05
o3,corrida_1,0-nmol/mol,part_1,2,11-20,2.90E-05,3.21E-05
o3,corrida_1,0-nmol/mol,part_1,2,21-30,1.94E-05,2.72E-05
o3,corrida_1,0-nmol/mol,part_2,3,1-10,3.87E-05,2.96E-05
o3,corrida_1,0-nmol/mol,part_2,3,11-20,2.90E-05,2.82E-05
o3,corrida_1,0-nmol/mol,part_2,3,21-30,4.19E-05,4.31E-05
o3,corrida_1,0-nmol/mol,part_3,4,1-10,3.87E-05,2.96E-05
o3,corrida_1,0-nmol/mol,part_3,4,11-20,4.52E-05,3.79E-05
o3,corrida_1,0-nmol/mol,part_3,4,21-30,2.58E-05,2.54E-05
o3,corrida_1,0-nmol/mol,ref,1,1-10,3.23E-05,2.63E-05
o3,corrida_1,0-nmol/mol,ref,1,11-20,5.16E-05,2.72E-05
o3,corrida_1,0-nmol/mol,ref,1,21-30,3.23E-05,3.04E-05
o3,corrida_2,120-nmol/mol,part_1,2,1-10,119.8799503,0.8551874496
o3,corrida_2,120-nmol/mol,part_1,2,11-20,120.0277496,0.8209801701
o3,corrida_2,120-nmol/mol,part_1,2,21-30,120.0529072,0.8268751903
o3,corrida_2,120-nmol/mol,part_2,3,1-10,120.0477807,0.8186083475
o3,corrida_2,120-nmol/mol,part_2,3,11-20,119.8904075,0.8462546482
o3,corrida_2,120-nmol/mol,part_2,3,21-30,119.7440773,0.8364619905
o3,corrida_2,120-nmol/mol,part_3,4,1-10,119.7374721,0.844010178
o3,corrida_2,120-nmol/mol,part_3,4,11-20,119.7416099,0.8351193634
o3,corrida_2,120-nmol/mol,part_3,4,21-30,120.0675342,0.7783581398
o3,corrida_2,120-nmol/mol,ref,1,1-10,120.0482928,0.7937987655
o3,corrida_2,120-nmol/mol,ref,1,11-20,119.9024054,0.8526632833
o3,corrida_2,120-nmol/mol,ref,1,21-30,119.8860878,0.8582147554
o3,corrida_3,180-nmol/mol,part_1,2,1-10,177.6374232,1.923496954
o3,corrida_3,180-nmol/mol,part_1,2,11-20,178.0355977,2.020212133
o3,corrida_3,180-nmol/mol,part_1,2,21-30,180.0015971,1.278241584
o3,corrida_3,180-nmol/mol,part_2,3,1-10,178.7509531,2.026966251
o3,corrida_3,180-nmol/mol,part_2,3,11-20,178.8410595,2.026358503
o3,corrida_3,180-nmol/mol,part_2,3,21-30,179.2446683,1.830742696
o3,corrida_3,180-nmol/mol,part_3,4,1-10,178.8632792,2.059496748
o3,corrida_3,180-nmol/mol,part_3,4,11-20,178.3740662,2.089587027
o3,corrida_3,180-nmol/mol,part_3,4,21-30,178.054565,2.084722515
o3,corrida_3,180-nmol/mol,ref,1,1-10,178.0478628,2.100190656
o3,corrida_3,180-nmol/mol,ref,1,11-20,178.3332013,2.137831887
o3,corrida_3,180-nmol/mol,ref,1,21-30,177.6520868,1.997042948
o3,corrida_4,40-nmol/mol,part_1,2,1-10,40.41232463,0.3039213043
o3,corrida_4,40-nmol/mol,part_1,2,11-20,40.65162664,0.3300937909
o3,corrida_4,40-nmol/mol,part_1,2,21-30,40.45509271,0.3213560288
o3,corrida_4,40-nmol/mol,part_2,3,1-10,40.40178993,0.3058637112
o3,corrida_4,40-nmol/mol,part_2,3,11-20,40.58658976,0.3408188317
o3,corrida_4,40-nmol/mol,part_2,3,21-30,40.40041263,0.3177502382
o3,corrida_4,40-nmol/mol,part_3,4,1-10,40.65601055,0.3174777615
o3,corrida_4,40-nmol/mol,part_3,4,11-20,40.45360099,0.3264822384
o3,corrida_4,40-nmol/mol,part_3,4,21-30,40.66126266,0.2948629781
